,dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,ocr_creator,ocr_timestamp,first_name,gender
6929,100095527,URN:NBN:no-nb_digibok_2012073009624,Dødelig dose : kriminalserie i fem deler. 3. episode : Spaning,"Brundtland , Ketil",oai:nb.bibsys.no:999615465304702202,f8b0085b9dbf86ae741d69aca4e1082c,,[Oslo],19960101,1996,"Norsk rikskringkasting, Radioteatret",nob,,839.822,fiction,Skjønnlitteratur,digibok,nb,20060101,Ketil,male
6930,100054208,URN:NBN:no-nb_digibok_2011083106076,Lysthuset : roman,"Hagerup , Hilde",oai:nb.bibsys.no:990515826194702202,3888ab4c5d0027aed489ef378d5e3990,8203190499,Oslo,20050101,2005,Aschehoug,nob,norske / romaner / 2000-tallet,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Hilde,female
6931,100301775,URN:NBN:no-nb_digibok_2016070608064,Den ømme morderen,"Berggren , Arne",oai:nb.bibsys.no:990214638084702202,06d1e6d176db50e270bf8a58c1d033bd,8252534074,[Oslo],20020101,2002,De norske bokklubbene,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Arne,male
6935,100165417,URN:NBN:no-nb_digibok_2013082606083,Varsleren,"Fossum , Karin",oai:nb.bibsys.no:990925566714702202,9d028ef92849d533c85e3a484bb50993,,[Oslo],20090101,2009,Cappelen Damm,nob,romaner / skjønnlitteratur / krim / spenning / kriminallitteratur / norske romanar 2000-tallet / norsk,839.82 / 839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Karin,female
6937,100611196,URN:NBN:no-nb_digibok_2021100648166,Lucifers fall : et Falkener og Wilberg-mysterium,"Stene, Jan Boris",oai:nb.bibsys.no:999919914691802202,491b4c23ec1d05a75f69ba746cd1bfc1,,,2018,2018,Vigmostad Bjørke,nob,"Falkener, Astor (fiktiv person) / Doktor Wilberg (fiktiv person) / Norsk skjønnlitteratur / Norsk litteratur",839.8238,novel / text,Skjønnlitteratur,digibok,nb,20060101,"Stene,",unknown
6938,100612251,URN:NBN:no-nb_digibok_2021102148135,Eva og mor ror,"Fønhus, Marita Sporstøl",oai:nb.bibsys.no:999919933389702202,c164338652391b1fb25340e3059224b5,,[Hagan],2018,2018,Marita Fønhus,nob,,839.8238,fiction / tekst,Skjønnlitteratur,digibok,nb,20060101,"Fønhus,",unknown
6939,100151691,URN:NBN:no-nb_digibok_2009051804067,Flukt : roman,"Willis , Herman",oai:nb.bibsys.no:999009579304702202,5ee5153d11cc95fbf406007c1eeff0ba,8210033344,[Oslo],19900101,1990,Gjøvik trykkeri,nob,skjønnlitteratur/voksen,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Herman,male
6940,100372310,URN:NBN:no-nb_digibok_2018050448067,Det er greit for meg : roman,"Petterson , Per",oai:nb.bibsys.no:990803812354702202,80468b43a92237171da612366c69e841,,Oslo,20080101,2008,Oktober,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Per,male
6941,100594243,URN:NBN:no-nb_digibok_2021101948512,Hva er der oppe?,"Estes, Max",oai:nb.bibsys.no:999919953165202202,feeebbeb8c72a8b18707f939f08c52bd,,[Oslo],2018,2018,Cappelen Damm,nob,Universet / Universet,839.8238,short story / text,Skjønnlitteratur,digibok,nb,20060101,"Estes,",unknown
6942,100215482,URN:NBN:no-nb_digibok_2014063005120,Ingen vei hjem : Arthur Omre : en biografi,"Søbye , Espen",oai:nb.bibsys.no:990903002464702202,59c367acaf5491ad1365a9f3a80e263b,,Oslo,20080101,2008,Oktober,nob,Smugling / Norsk litteratur,839.823 / 839.823,biography,Faglitteratur,digibok,nb,20060101,Espen,male
6945,100389944,URN:NBN:no-nb_digibok_2018100807073,I søvnen lignet han et barn : roman,"Næss , Jan Chr. (Jan Christopher)",oai:nb.bibsys.no:991420730754702202,24c8eab7890d84841af030be4e4ca0d7,,[Oslo],20140101,2014,Gyldendal,nob,skjønnlitteratur / romanar / norske / romaner / 2010-tallet,839.82 / 839.8238 / 839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Jan,male
