,dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,ocr_creator,ocr_timestamp,first_name,gender
39746,100088819,URN:NBN:no-nb_digibok_2012062705021,Rester av glemsel,"Haugane , Karin",oai:nb.bibsys.no:998901443974702202,15ab89a3b316a0b9679562a69b283bc6,8205184720,Oslo,19890101,1989,Gyldendal,nob,skjønnlitteratur/voksen,839.821,fiction,Skjønnlitteratur,digibok,nb,20060101,Karin,female
39748,100221095,URN:NBN:no-nb_digibok_2014072305139,Hundene gjør ved vanningsstedet,"Scheer , Eva",oai:nb.bibsys.no:998330688904702202,448a83431a989c909d718bf8ace57dc5,8203111971,Oslo,19830101,1983,Aschehoug,nob,skjønnlitteratur/voksen / jødiske / fortellinger / lituaen / russland / pogromer, 839.93,fiction,Skjønnlitteratur,digibok,nb,20060101,Eva,female
39749,100423836,URN:NBN:no-nb_digibok_2008082704054,Gjerningsmann: ukjent : kriminalroman,"Gunnerud , Jørgen",oai:nb.bibsys.no:999910093124702202,ee147e01b172d0fbf64aa3a83aa57822,8205264791,Oslo,19990101,1999,Kolon forl.,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Jørgen,male
39751,100605228,URN:NBN:no-nb_digibok_2021072848600,Svik og savn,"Angell-Jacobsen, Rune",oai:nb.bibsys.no:999919862399702202,529271a8866d97732c7fdf8c23176c60,,[Oslo],2016,2016,Bladkompaniet,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,"Angell-Jacobsen,",unknown
39753,100504196,URN:NBN:no-nb_digibok_2009032000022,Logg : et dikt,"Dragseth , Terje",oai:nb.bibsys.no:990223249764702202,018ad8984a4ebaa971718fdfc323bc04,8210047620,Oslo,20020101,2002,Tiden,nob,dikt / lyrikk / poesi / norsk / 2000-tallet,839.821,fiction,Skjønnlitteratur,digibok,nb,20060101,Terje,male
39755,100478690,URN:NBN:no-nb_digibok_2008022100038,En lysets engel : beretningen om to norske gutter som falt i krigen,"Fangen , Ronald",oai:nb.bibsys.no:999509386374702202,690fd907e64e55633306020aee1fe336,8205228515,Oslo,19950101,1995,Gyldendal,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Ronald,male
39757,100387530,URN:NBN:no-nb_digibok_2018072607256,Evas øye,"Fossum , Karin",oai:nb.bibsys.no:991508622454702202,4692650ab73e387d2af6d746065c8ff6,,[Oslo],20150101,2015,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Karin,female
39758,100581618,URN:NBN:no-nb_digibok_2021102248022,Alle disse dagene,"Braathen, Tove",oai:nb.bibsys.no:999919924585502202,9f6a6c11c68fe0acec3706a4fcefd839,,,2018,2018,Vigmostad Bjørke,nob,Hverdagsliv / Kvardagsliv,839.8238,novel / text,Skjønnlitteratur,digibok,nb,20060101,"Braathen,",unknown
39759,100178377,URN:NBN:no-nb_digibok_2013112506046,Den siste bjørnen i Vassfaret,"Dalbak , Tom H.",oai:nb.bibsys.no:990925878104702202,14f5316215b9423707457c840454f621,,Oslo,20090101,2009,Aschehoug,nob,bjørner,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Tom,male
39763,100544750,URN:NBN:no-nb_digibok_2011062708229,Farlig vennskap,"Lien , Merete",oai:nb.bibsys.no:990303891514702202,6e3c388321ff15c235528e6660ac8667,8204084587,[Oslo],20030101,2003,Damm,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Merete,female
39766,100601502,URN:NBN:no-nb_digibok_2021092348018,Å sitte med et bilde,"Vinnem, Arne",oai:nb.bibsys.no:999919909177702202,334eb3973355003d227596f638b0791e,,[Oslo],2018,2018,Uten tittel,nob,,839.823,short story / text,Skjønnlitteratur,digibok,nb,20060101,"Vinnem,",unknown
39767,100387263,URN:NBN:no-nb_digibok_2019032277047,Opphold : roman,"Linnestå , Aasne",oai:nb.bibsys.no:991422082214702202,4ee0d44617b87f0b9a66298c07fa3010,,Oslo,20140101,2014,Aschehoug,nob,norsk / litteratur / roman / romaner / norske / 2010-tallet,839.82 / 839.8238 / 839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Aasne,unknown
39770,100141339,URN:NBN:no-nb_digibok_2013031106011,Gløden i mørket av fremmede,"Wilsberg , Jan",oai:nb.bibsys.no:990521402614702202,dc8150e9a612a77cc0931c27ad837d20,8299195772,[Løvenstad],20050101,2005,Forl. ny vei,nob,,839.823,short story,Skjønnlitteratur,digibok,nb,20060101,Jan,male
39772,100417397,URN:NBN:no-nb_digibok_2020090107545,Varsjøen,"Blatt , Thomas Marco",oai:nb.bibsys.no:999919853898402202,aede1ba0b5d8b5d0bc4504a5464c2d0e,,Oslo,20160101,2016,Kolon,nob,,839.82 / 839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Thomas,male
39776,100342820,URN:NBN:no-nb_digibok_2017072607017,Amasone-trilogien. 1 : Våpensøstrene,"Knudtsen , Ingar",oai:nb.bibsys.no:999910180284702202,c1588218f328a531fde1eb622b17a67a,8250941128,Oslo,19990101,1999,Bladkompaniet,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Ingar,male
39777,100599618,URN:NBN:no-nb_digibok_2021102648618,Utenfor er hundene : kriminalroman,"Staalesen, Gunnar",oai:nb.bibsys.no:999919954476302202,513f1b5b32737cac18f368a3f7182351,,,2018,2018,Gyldendal,nob,"Veum, Varg (fiktiv person) / norsk litteratur",839.82374,novel / text,Skjønnlitteratur,digibok,nb,20060101,"Staalesen,",unknown
39778,100444137,URN:NBN:no-nb_digibok_2008032800067,"""Jeg""","Borgen , Johan",oai:nb.bibsys.no:999621786594702202,d18b33aafaf9693d45cdcd7ff72a42d4,8205244669,Oslo,19960101,1996,Gyldendal,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Johan,male
39779,100342157,URN:NBN:no-nb_digibok_2017072407124,Klara,"Thorkildsen , Ingvill Skjold",oai:nb.bibsys.no:990006312054702202,3794edd78a3ad5c157794c11ddf3be82,8247806525,[Oslo],20000101,2000,Gyldendal Tiden,nob,ungdomsbøker / forelskelse / pubertet / familien,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Ingvill,unknown
39781,100241434,URN:NBN:no-nb_digibok_2015012708290,Krigens ofre,"Angell-Jacobsen , Rune",oai:nb.bibsys.no:991313503824702202,63f6d5221597c95aa03807c76dfb6476,,Oslo,20120101,2012,Aller,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Rune,male
39784,100200209,URN:NBN:no-nb_digibok_2014042807013,Bryllupsreisen : en kjærlighetsroman,"Faldbakken , Knut",oai:nb.bibsys.no:998222360444702202,b581251cafb1cd6988d33658c44e5f39,8257401943 / 8205141924,Oslo,19820101,1982,Gyldendal,nob,ekteskap,839.823 / 839.93,fiction,Skjønnlitteratur,digibok,nb,20060101,Knut,male
39786,100551244,URN:NBN:no-nb_digibok_2011071506031,Dødssymfoni,"Jæger , Jørgen",oai:nb.bibsys.no:990518037714702202,39d5a849891cc77d8249c270b0bf7821,8204117205,[Oslo],20050101,2005,Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Jørgen,male
39787,100145510,URN:NBN:no-nb_digibok_2013041908104,To opp og en i mente,"Kiønig , Carl Jørgen",oai:nb.bibsys.no:998020470094702202,11cdab0df00edc1ec2345ce3f4da7819,8250908163,Oslo,19800101,1980,Bladkompaniet,nob,,839.93,fiction,Skjønnlitteratur,digibok,nb,20060101,Carl,male
39788,100234669,URN:NBN:no-nb_digibok_2014110708069,Berlinpakten,"Didriksen , Jørn",oai:nb.bibsys.no:990810442404702202,c9978f908be326a00147386b761c3e54,,[Oslo],20080101,2008,Kolofon,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Jørn,male
39789,100592830,URN:NBN:no-nb_digibok_2021101548031,Leo,"Hagemann, Bror",oai:nb.bibsys.no:999919924686502202,3a3ab1bbb6e796aea5a4cf2b772430c1,,Oslo,2018,2018,Tiden,nob,Outsidere / Outsiderar / Småbyer / Småbyar / Seksuelle overgrep / Seksuelle overgrep,839.8238,novel / text,Skjønnlitteratur,digibok,nb,20060101,"Hagemann,",unknown
39790,100172734,URN:NBN:no-nb_digibok_2009041600070,Haiene : historien om et mannskap og et forlis,"Bjørneboe , Jens",oai:nb.bibsys.no:990011497924702202,c2581a1f0890df46b02563fca7eb3dff,8205268126,[Oslo],20000101,2000,Gyldendal,nob,skjønnlitteratur / norsk,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Jens,male
39792,100455019,URN:NBN:no-nb_digibok_2008031200021,Rim og regler for barna,"Morisse , Tor",oai:nb.bibsys.no:999516560584702202,0dce0b578df76d60aa27abd1130a15de,8245800295,Oslo,19950101,1995,Orion,nob,barnerim / barnebøker / barnesanger / dikt / barnepoesi,839.821008,fiction,Skjønnlitteratur,digibok,nb,20060101,Tor,male
39795,100153474,URN:NBN:no-nb_digibok_2013070408085,Farlig cruise,"Jensen , Jan H.",oai:nb.bibsys.no:998421602564702202,3d6d0a50cda4e0bfee5bb3573679d891,8250914759,Oslo,19840101,1984,Bladkompaniet,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Jan,male
39796,100590097,URN:NBN:no-nb_digibok_2021071448649,Ingenting om mørket : roman,"Lindstrøm, Merethe",oai:nb.bibsys.no:991303656704702202,b0c1bc7af0e1ae08f4c0f301b9ee4b3d,,Oslo,2013,2013,Aschehoug,nob,Family Relations / Parent-Child Relations,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,"Lindstrøm,",unknown
39799,100460633,URN:NBN:no-nb_digibok_2007082701003,Mannen fra Jante : et portrett av Aksel Sandemose,"Haavardsholm , Espen",oai:nb.bibsys.no:999102397464702202,51ba2addfdc4f087c66a42c04e2d09f1,8205200114,Oslo,19910101,1991,Gyldendal,nob,biografi / aksel,839.823,biography,Faglitteratur,digibok,nb,20060101,Espen,male
39800,100011881,URN:NBN:no-nb_digibok_2010071608043,"Bjørnson, bonden og sjømannen : actio eller memoria i to eksemplariske forsøk","Johannesen , Georg",oai:nb.bibsys.no:999419961824702202,9889114cfba473014d417651495e1dd0,,Bergen,19900101,1990,"Nordisk institutt, Universitetet i Bergen",nob,retorikk / norsk / litteratur,839.828,,Faglitteratur,digibok,nb,20060101,Georg,male
39807,100442671,URN:NBN:no-nb_digibok_2008081504057,Første møte med Atlantis : dikt,"Dalby , Gene",oai:nb.bibsys.no:999823892724702202,4c6839d1788d933dd1dee0cc7415f58f,8203180442,Oslo,19980101,1998,Aschehoug,nob,,839.821,fiction,Skjønnlitteratur,digibok,nb,20060101,Gene,mostly_male
39808,100382870,URN:NBN:no-nb_digibok_2018062707054,Kilden i Veneto,"Strappione , Claudia",oai:nb.bibsys.no:991507520324702202,ac6eeafb96198da9cfca495d9edf3606,,[Jar],20150101,2015,Prego Mobile,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Claudia,female
39810,100400021,URN:NBN:no-nb_digibok_2020042248099,Traumets betydning i norsk samtidslitteratur,"Langås , Unni",oai:nb.bibsys.no:999919817999702202,272be18f8217d2d9cb619d0c4b32b390,,Bergen,20150101,2015,Fagbokforl.,nob,Norsk litteratur / Traumer / Traumer / Norsk litteratur / samtidslitteratur / traumer / litterære motiver / sorg / dikt / fotografier / bilder / romaner / skuespill / drama / krig / død / traumer i litteraturen,839.8209353 / 809.9 / 839.093353,,Faglitteratur,digibok,nb,20060101,Unni,female
39811,100010547,URN:NBN:no-nb_digibok_2010080303003,En kald dag i helvete,"Ragde , Anne B.",oai:nb.bibsys.no:999916593414702202,5ef6e3ea6bf8a69648e0a624ec9b98b8,8210044648,Oslo,19990101,1999,Tiden,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Anne,female
39813,100460789,URN:NBN:no-nb_digibok_2008060600043,Evigskogen : en fantasiantologi,"Knudtsen , Ingar",oai:nb.bibsys.no:999009695554702202,f2257a0fc674ffafd4897965f320c7fb,8290387253,Oslo,19900101,1990,Bok og Magasinforlaget,nob,ungdomsbøker / noveller / litteratur / fantastisk,839.823008,fiction,Skjønnlitteratur,digibok,nb,20060101,Ingar,male
39814,100398362,URN:NBN:no-nb_digibok_2020012207099,Myrlandet,"Skjelbakken , Ida S.",oai:nb.bibsys.no:991421914344702202,33b13cdc90308cbb2b7e411d7a972bce,,[Oslo],20140101,2014,Schibsted,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Ida,female
39816,100606679,URN:NBN:no-nb_digibok_2021121348100,Tolv diktere i blått : fra Petter Dass til i dag,"Vold, Jan Erik",oai:nb.bibsys.no:999920001291802202,ef8deea3f19a1ab4c64ec2b4baccba2a,,,2019,2019,Gyldendal,nob,Litteraturhistorie / Litteraturhistorie / Lyrikk / Lyrikk / Forfattere / Forfattarar,839.821,tekst,Faglitteratur,digibok,nb,20060101,"Vold,",unknown
39817,100118809,URN:NBN:no-nb_digibok_2008020604029,Gagarins øyne : dikt,"Melli , Aleksander",oai:nb.bibsys.no:999407199594702202,1716d672ddfd4c0a9b7fec71ddf847d4,8202147522,[Oslo],19940101,1994,Cappelen,nob,lyrikk,839.821,fiction,Skjønnlitteratur,digibok,nb,20060101,Aleksander,male
39818,100450282,URN:NBN:no-nb_digibok_2008072500070,Tidsteder : samlede dikt,"Mjelve , Sigmund",oai:nb.bibsys.no:999606508574702202,2d5a5a4504f8dff664c33bfb189f5c41,8205238901,Oslo,19960101,1996,Gyldendal,nob,norsk / lyrikk,839.821,fiction,Skjønnlitteratur,digibok,nb,20060101,Sigmund,male
39819,100357317,URN:NBN:no-nb_digibok_2017121248017,Et hjerte finner hjem,"Galåsen , Gustav M. (Gustav Martinsen)",oai:nb.bibsys.no:998521142574702202,fcc0b7cf353be1892e51e6df88c0279f,8250916328,Oslo,19850101,1985,Bladkompaniet,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Gustav,male
39820,100151528,URN:NBN:no-nb_digibok_2009042000124,Fri : roman,"Elstad , Anne Karin",oai:nb.bibsys.no:990010440364702202,9c3e2ca7e8cb8857dd41d4cd44c5b468,8252548377 / 8203183395,Oslo,20000101,2000,Aschehoug,nob,norske / romaner / 2000-tallet / skjønnlitteratur,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Anne,female
39824,100415768,URN:NBN:no-nb_digibok_2020082607037,Sirkus Maxim,"Wyller , Siv",oai:nb.bibsys.no:999919840368702202,ba98e991c2986d79d68644e2d3d8dba8,,[Oslo],20160101,2016,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Siv,female
39825,100582507,URN:NBN:no-nb_digibok_2021072848079,Dødt løp : thriller,"Aust, Kurt",oai:nb.bibsys.no:999919850602502202,18b7f6791f15afc1e1d43ddba82f9ad4,,Oslo,2016,2016,Aschehoug,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,"Aust,",unknown
39826,100174136,URN:NBN:no-nb_digibok_2013101706134,Tornerose sov i hundre år,"Staalesen , Gunnar",oai:nb.bibsys.no:990823465934702202,bb77c3199047fd76d4eab6b88d9a3d41,,[Oslo],20080101,2008,Gyldendal,nob,norsk / litteratur / roman,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Gunnar,male
39827,100399150,URN:NBN:no-nb_digibok_2020040388006,Heim,"Mjønes , Johan B. (Johan Blichfeldt)",oai:nb.bibsys.no:999920001293102202,e763189834f264f2590c1d8014378b7c,,,20190101,2019,Aschehoug,nob,Gårdsbruk / Gardsbruk / Slekter / Slekter / Døden / Døden,839.8238,novel / tekst,Skjønnlitteratur,digibok,nb,20060101,Johan,male
39828,100412349,URN:NBN:no-nb_digibok_2020072407594,Brennemerket,"Hanssen , Eystein",oai:nb.bibsys.no:999919825488202202,d217d54011851066461f94e4a8927490,,[Oslo],20160101,2016,Cappelen Damm,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Eystein,male
39829,100185555,URN:NBN:no-nb_digibok_2013121206012,Bussturen der Tarkan lærte å telle til hundre,"Molenaar , René",oai:nb.bibsys.no:991112509274702202,1c6893c63746ed6b2fc00cca3c791e76,,,20100101,2010,Kolofon,nob,,839.823,short story,Skjønnlitteratur,digibok,nb,20060101,René,male
39830,100563896,URN:NBN:no-nb_digibok_2008082704065,Det kommer en pike gående,"Hagerup , Inger",oai:nb.bibsys.no:999901227004702202,5fc710259f5b7d4623e97c75f84b8daf,8203180965,Oslo,19990101,1999,Aschehoug,nob,,839.821,biography,Faglitteratur,digibok,nb,20060101,Inger,female
39832,100142688,URN:NBN:no-nb_digibok_2013041206056,Guds nåde nordpå : roman,"Kristiansen , Idar",oai:nb.bibsys.no:998222247804702202,d69683d472a45de640819b95b060fb51,8250404734 / 8250404742,Oslo,19810101,1981,Grøndahl,nob,, 839.93,fiction,Skjønnlitteratur,digibok,nb,20060101,Idar,male
39833,100408442,URN:NBN:no-nb_digibok_2020062548650,Paisommer,"Aalbu , Ragnar",oai:nb.bibsys.no:999920012602502202,dc1fd061ead3a4e692fca0911dc8fad4,,[Oslo],20190101,2019,Ena,nob,Muldvarper / Moldvarpar / Norsk barnelitteratur / Billedbøker / fristelser / tyveri / tyver / samvittighet,839.8238,short story / tekst,Skjønnlitteratur,digibok,nb,20060101,Ragnar,male
39839,100247209,URN:NBN:no-nb_digibok_2015050408155,Lystig pedagogikk og narrativt begjær : to essays om Karen Blixens fortellinger,"Arntzen , Ragnar",oai:nb.bibsys.no:991004399264702202,e7b8487e8f5b96cbcf8f18358a6c9992,,Halden,20100101,2010,Høgskolen i Østfold,nob,Dansk litteratur,839.818 / 839.813,,Faglitteratur,digibok,nb,20060101,Ragnar,male
39841,100171248,URN:NBN:no-nb_digibok_2013092508011,Pulverheksa og Krokodillen,"Aamodt , Ingunn",oai:nb.bibsys.no:991122327954702202,3d3221ddef9fbe2ba457a0e1beff460e,,Oslo,20110101,2011,Omnipax,nob,billedbøker / barn / norsk / litteratur,839.823 / 839.82 / 839.82u,short story,Skjønnlitteratur,digibok,nb,20060101,Ingunn,female
39842,100560434,URN:NBN:no-nb_digibok_2009062900056,Samlede verker. B. 4 : Kratskog ; Sværmere ; Stridende liv ; Under høststjærnen,"Hamsun , Knut",oai:nb.bibsys.no:990012770224702202,ba321d59606a23755fc91ff8972e7c4b,8205275408,,20000101,2000,Gyldendal,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Knut,male
39844,100394965,URN:NBN:no-nb_digibok_2019102877067,Pym Pettersons mislykka familie,"Linde , Heidi",oai:nb.bibsys.no:991426642004702202,216590f4799eb74bd9648532106dd705,,[Oslo],20140101,2014,Gyldendal,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Heidi,female
39845,100387515,URN:NBN:no-nb_digibok_2018072607238,Kjærlighetsbarnet,"Johansen , Jorunn",oai:nb.bibsys.no:991303056854702202,2c99e9d4fd651789859d77c83d583962,,[Oslo],20130101,2013,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Jorunn,female
39847,100405033,URN:NBN:no-nb_digibok_2020012307235,Fanget,"Kyvik , Salmund",oai:nb.bibsys.no:991514028414702202,ec501d6485761eff527df7c6b8415376,,[Oslo],20150101,2015,Schibsted,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Salmund,unknown
39849,100134863,URN:NBN:no-nb_digibok_2013022205016,Vinder av begjær,"Helberg , Berit",oai:nb.bibsys.no:990937948004702202,4e62d6e8a35624116ff8842e0107d1b0,,[Trondheim],20090101,2009,Craft&Chiron Underground Publishment,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Berit,female
39850,100586876,URN:NBN:no-nb_digibok_2021102248170,Tekster om frihet : et forsøk på å uteske frihetens betingelser,"Lundeby, Inge",oai:nb.bibsys.no:999919954692802202,9f21552300c10bc0e4b6c1e6c02815b3,,Våler i Solør,2018,2018,Forl. østafær,nob,,839.8218,poetry,Skjønnlitteratur,digibok,nb,20060101,"Lundeby,",unknown
39851,100177901,URN:NBN:no-nb_digibok_2013102906134,Von Porats hardtslående ord,"Porat , Erik von",oai:nb.bibsys.no:990917628554702202,e518ba5dc74f7649dc0855790a62c5d6,,[Arendal],20090101,2009,Erik von Porat,nob,,839.828,short story,Skjønnlitteratur,digibok,nb,20060101,Erik,male
39852,100132427,URN:NBN:no-nb_digibok_2012121308165,Mistanker,"Angell-Jacobsen , Rune",oai:nb.bibsys.no:991002084604702202,1e3d36b9073991482eef0fd8e5d7e486,,[Oslo],20100101,2010,Schibsted,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Rune,male
39855,100588522,URN:NBN:no-nb_digibok_2021121448061,Søker det forsvunne,"Refsnes, Beate",oai:nb.bibsys.no:999920085770402202,695985ebbf4fabc654c7ad9a3721b77f,,[Asker],2020,2020,Tekst forlag,nob,,839.8218,poetry / tekst,Skjønnlitteratur,digibok,nb,20060101,"Refsnes,",unknown
39856,100154424,URN:NBN:no-nb_digibok_2013071008000,Hemmeligheter og løgner,"Semb , Jeanette",oai:nb.bibsys.no:991229773274702202,8eabfb0a0464746a1ce4f2b40eb4c1c3,,[Oslo],20120101,2012,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Jeanette,female
39860,100143401,URN:NBN:no-nb_digibok_2013040208100,Gjennom ord og byer,"Macé , Nicole",oai:nb.bibsys.no:998330910694702202,a06f7ef70cda3524d0b76729da36d19b,8203112293,Oslo,19830101,1983,Aschehoug,nob,,839.821,fiction,Skjønnlitteratur,digibok,nb,20060101,Nicole,female
39862,100091472,URN:NBN:no-nb_digibok_2012070306023,Eufemia-natten,"Cappelen , Peder W.",oai:nb.bibsys.no:998820705414702202,13654a36da03a1dd2790c87828eb6dea,8203158544,[Oslo],19880101,1988,Aschehoug,nob,skjønnlitteratur/voksen,839.822,fiction,Skjønnlitteratur,digibok,nb,20060101,Peder,male
39863,100591989,URN:NBN:no-nb_digibok_2021110948070,Storesøster : kriminalroman,"Staalesen, Gunnar",oai:nb.bibsys.no:999919971498702202,8f7a7f2be69a9643d88854fd451cb4be,,,2019,2019,Gyldendal,nob,,839.82374,novel / text,Skjønnlitteratur,digibok,nb,20060101,"Staalesen,",unknown
39865,100083678,URN:NBN:no-nb_digibok_2012062505041,Tilbake fra de døde,"Johnsen , Kjetil",oai:nb.bibsys.no:991126386514702202,1eb493f397ec0e4f8266d35d99d158a9,,[Oslo],20110101,2011,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Kjetil,male
39868,100400020,URN:NBN:no-nb_digibok_2020042248097,Mannen som elsket livet : roman,"Nannestad , Bård",oai:nb.bibsys.no:999919985677802202,8067414b4bd9532ee9105bef470cb235,,Bergen,20190101,2019,Vigmostad Bjørke,nob,Fedre / Fedrar,839.8238,novel / text,Skjønnlitteratur,digibok,nb,20060101,Bård,male
39869,100411652,URN:NBN:no-nb_digibok_2020072048012,Den som elsker noe annet : kriminalroman,"Fossum , Karin",oai:nb.bibsys.no:999919951899802202,fc79de3be9890a2f8db6ec7649dc1beb,,,20180101,2018,Cappelen Damm,nob,"Mishandling / Mishandling / Sejer, Konrad (fiktiv person)",839.82374,novel / text,Skjønnlitteratur,digibok,nb,20060101,Karin,female
39870,100532412,URN:NBN:no-nb_digibok_2011031805014,Vinden fra Kodan : dikt,"Tuverud , Rune",oai:nb.bibsys.no:990118140394702202,6585177dfaf9ee47b60616b9788b8f28,8202202248,[Oslo],20010101,2001,Cappelen,nob,dikt / lyrikk / poesi / norsk,839.821,fiction,Skjønnlitteratur,digibok,nb,20060101,Rune,male
39871,100433886,URN:NBN:no-nb_digibok_2021012507533,Sangen og katastrofen : dikt,"Farestad , Ulrik",oai:nb.bibsys.no:999919867158002202,152b65bb112b40cf1b6d8b7aa9044a26,,[Oslo],20170101,2017,Bokvennen,nob,,839.82 / 839.821,poetry / text,Skjønnlitteratur,digibok,nb,20060101,Ulrik,male
39872,100409283,URN:NBN:no-nb_digibok_2020062648093,Marionetten,"Skjelbakken , Ida S.",oai:nb.bibsys.no:999920029102602202,a0196dad16c3d695513bdeb711766099,,,20190101,2019,Bladkompaniet,nob,,839.8238,novel / tekst,Skjønnlitteratur,digibok,nb,20060101,Ida,female
39873,100414349,URN:NBN:no-nb_digibok_2020081107133,Ild og bål,"Pedersen , Bente",oai:nb.bibsys.no:999919837303202202,80277e140e4589d7e4dd04a8c46b552d,,[Oslo],20160101,2016,Bladkompaniet,nob,hekseforfølgelser / hekseprosesser / Finnmark,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Bente,female
39874,100212634,URN:NBN:no-nb_digibok_2014061906032,Ingen skygge uten lys,"Hjertø , Camilla",oai:nb.bibsys.no:990609642514702202,8d573cfb2fa5b0a5d8954fa52e38f2e8,8250956451,[Oslo],20060101,2006,Schibsted,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Camilla,female
39875,100409204,URN:NBN:no-nb_digibok_2020062548571,Som hund og katt,"Mysen , Jane",oai:nb.bibsys.no:999919995968202202,834ee9bb9a0ce50cd09830b581e53345,,[Oslo],20190101,2019,Cappelen Damm,nob,Romanifolk / Romanifolk,839.8238,novel / tekst,Skjønnlitteratur,digibok,nb,20060101,Jane,female
39876,100013057,URN:NBN:no-nb_digibok_2007092000097,"""Velkommen til samarbeid"" : innledninger til Suttungsteatrets [sic] forestillinger. B. 2 : Ingeborg Refling Hagen  som teaterbygger : innledninger til ""Faustina Strozzi"" og ""Wulffie & Comp""","Michaelsen , Aslaug Groven",oai:nb.bibsys.no:999011320714702202,9040fb83f985bdfeb8d37781c6274c6d,8290447140,,19900101,1990,Krystalline,nob,Teater (Scenekunst) / norsk / dramatikk / dramaturgi / suttungteateret,839.822009 / 839.822,,Faglitteratur,digibok,nb,20060101,Aslaug,female
39877,100358282,URN:NBN:no-nb_digibok_2017121808061,[Jubileumseske Tor Åge Bringsværd 75 år] : Panama,"Bringsværd , Tor Åge",oai:nb.bibsys.no:991443607054702202,34dcd25000b2dd212fcad76456af77ba,,[Oslo],20140101,2014,Cappelen Damm,nob,,839.82 / 839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Tor,male
39878,100418113,URN:NBN:no-nb_digibok_2020090207526,Dødsriket,"Kristensen , Tom",oai:nb.bibsys.no:999919853893602202,0fd2595b4fd54fd6c6a50508321a99fc,,Oslo,20160101,2016,Aschehoug,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Tom,male
39879,100386861,URN:NBN:no-nb_digibok_2018072507123,Myrullsommer,"Andersen , Yvonne",oai:nb.bibsys.no:991305697634702202,57bf5f51ce7cffddd5e917c82eec40a4,,[Oslo],20130101,2013,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Yvonne,female
39880,100212756,URN:NBN:no-nb_digibok_2014062005068,Kilden,"Scott , Gabriel",oai:nb.bibsys.no:990921238304702202,41ac72c9a86eda5838b3636d88732449,,Oslo,20090101,2009,Aschehoug,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Gabriel,male
39881,100560433,URN:NBN:no-nb_digibok_2009062900055,Samlede verker. B. 10 : Landstrykere,"Hamsun , Knut",oai:nb.bibsys.no:990012769304702202,263761ade1d32edbac5c558831e75fd9,8205275408,,20000101,2000,Gyldendal,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Knut,male
